question_id,gold_is_table,category,source_file,page_number,gold_norm_len,armA_n_page_chunks,armA_best_chunk_cov,armA_union_page_cov,armB_page_fallback_used,armB_n_page_chunks,armB_best_chunk_cov,armB_union_page_cov
Q001,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,224,307,3,1.0,1.0,True,6,0.4039,0.9381
Q002,True,numerical,circular_air_safety_2023_01_flight_data_analysis.pdf,2,597,2,1.0,1.0,,4,0.3518,0.9916
Q003,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,116,425,5,1.0,1.0,,5,0.5412,0.9812
Q004,True,cross_document,icao_gasp_global_safety_plan.pdf,9,811,4,1.0,1.0,,8,0.3921,1.0
Q005,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,208,170,3,1.0,1.0,,4,0.8941,1.0
Q006,True,numerical,car_s2_l_car66_maintenance_engineer_licensing.pdf,172,502,4,1.0,1.0,,5,0.5398,0.996
Q007,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,173,133,4,1.0,1.0,,5,0.985,1.0
Q008,True,cross_document,icao_gasp_global_safety_plan.pdf,31,1074,5,1.0,1.0,,7,0.3827,1.0
Q009,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,111,500,3,1.0,1.0,,4,0.424,0.988
Q010,True,numerical,car_s2_l_car66_maintenance_engineer_licensing.pdf,59,77,3,1.0,1.0,,6,0.6623,0.987
Q011,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,116,431,5,1.0,1.0,,5,0.7587,0.9954
Q012,True,cross_document,car_s2_l_car66_maintenance_engineer_licensing.pdf,218,309,3,1.0,1.0,,6,0.4175,0.9029
Q013,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,119,177,4,1.0,1.0,,6,0.9209,1.0
Q014,True,numerical,circular_air_nav_2024_01_installation.pdf,4,253,4,1.0,1.0,,4,0.7549,1.0
Q015,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,113,162,5,1.0,1.0,,5,0.9074,0.9753
Q016,True,cross_document,car_s2_l_car66_maintenance_engineer_licensing.pdf,172,157,4,1.0,1.0,,5,1.0,1.0
Q017,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,229,926,4,1.0,1.0,,6,0.4093,0.9924
Q018,True,numerical,car_s2_l_car66_maintenance_engineer_licensing.pdf,36,959,3,1.0,1.0,,6,0.3003,0.6934
Q019,True,procedural,car_s2_i_p5_flight_data_recorders.pdf,26,997,5,1.0,1.0,,7,0.326,1.0
Q020,True,cross_document,car_s2_l_car66_maintenance_engineer_licensing.pdf,48,167,4,1.0,1.0,,5,0.6467,0.9222
Q021,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,124,264,2,1.0,1.0,,2,0.8295,0.9545
Q022,True,numerical,circular_air_safety_2023_01_flight_data_analysis.pdf,17,873,2,1.0,1.0,,6,0.2761,1.0
Q023,True,procedural,icao_environment_report.pdf,275,395,7,1.0,1.0,,8,0.5443,1.0
Q024,True,cross_document,car_s2_l_car66_maintenance_engineer_licensing.pdf,116,92,5,1.0,1.0,,5,0.7609,1.0
Q025,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,173,399,4,1.0,1.0,,5,0.6591,1.0
Q026,True,numerical,icao_environment_report.pdf,203,904,3,1.0,1.0,,6,0.2279,0.5996
Q027,True,procedural,car_s2_i_p5_flight_data_recorders.pdf,23,926,3,1.0,1.0,,8,0.3283,1.0
Q028,True,cross_document,icao_environment_report.pdf,229,503,4,1.0,1.0,,6,0.3837,1.0
Q029,True,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,11,1032,4,1.0,1.0,,7,0.3944,1.0
Q030,True,numerical,car_s2_e_car145_maintenance_org_2025.pdf,160,550,3,1.0,1.0,,5,0.5418,1.0
Q031,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,121,118,6,1.0,1.0,,5,0.8475,1.0
Q032,True,cross_document,icao_gasp_global_safety_plan.pdf,44,173,4,1.0,1.0,,5,1.0,1.0
Q033,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,140,436,3,1.0,1.0,,8,0.5229,0.9817
Q034,True,numerical,car_s2_l_car66_maintenance_engineer_licensing.pdf,100,379,5,1.0,1.0,,5,0.7361,0.9894
Q035,True,procedural,icao_environment_report.pdf,477,369,13,1.0,1.0,,12,0.8266,1.0
Q036,True,cross_document,circular_air_safety_2023_01_flight_data_analysis.pdf,17,120,2,1.0,1.0,,6,0.9583,1.0
Q037,True,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,148,209,2,1.0,1.0,,2,1.0,1.0
Q038,True,numerical,circular_flight_crew_2025_01_medical.pdf,6,695,5,1.0,1.0,,8,0.446,1.0
Q039,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,138,326,3,1.0,1.0,,7,0.5153,1.0
Q040,True,cross_document,car_s2_e_car145_maintenance_org_2025.pdf,159,1079,3,1.0,1.0,True,5,0.3735,1.0
Q041,False,direct_regulation,icao_environment_report.pdf,288,427,14,1.0,1.0,,10,0.7447,1.0
