question_id,gold_is_table,category,source_file,page_number,gold_norm_len,armA_n,armA_contig,armA_blocks,armA_contig_at_best_blocks,armA_union_contig,armB_n,armB_contig,armB_blocks,armB_contig_at_best_blocks,armB_union_contig,armB_scatter_gap,armB_scattered,fits_in_armB,fits_in_armA
Q001,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,224,307,3,1.0,1.0,1.0,1.0,6,0.1726,0.3583,0.1726,0.4039,0.1857,False,True,True
Q002,True,numerical,circular_air_safety_2023_01_flight_data_analysis.pdf,2,597,2,1.0,1.0,1.0,1.0,4,0.3166,0.3518,0.2647,0.9045,0.0871,False,False,True
Q003,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,116,425,5,1.0,1.0,1.0,1.0,5,0.2824,0.5412,0.2188,0.6165,0.3224,False,True,True
Q004,True,cross_document,icao_gasp_global_safety_plan.pdf,9,811,4,1.0,1.0,1.0,1.0,8,0.3921,0.3921,0.3921,0.9778,0.0,False,False,True
Q005,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,208,170,3,1.0,1.0,1.0,1.0,4,0.8353,0.8941,0.8353,1.0,0.0588,False,True,True
Q006,True,numerical,car_s2_l_car66_maintenance_engineer_licensing.pdf,172,502,4,1.0,1.0,1.0,1.0,5,0.5398,0.5398,0.5398,0.9104,0.0,False,True,True
Q007,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,173,133,4,1.0,1.0,1.0,1.0,5,0.6617,0.985,0.6617,0.7068,0.3233,False,True,True
Q008,True,cross_document,icao_gasp_global_safety_plan.pdf,31,1074,5,1.0,1.0,1.0,1.0,7,0.3827,0.3827,0.3827,1.0,0.0,False,False,True
Q009,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,111,500,3,1.0,1.0,1.0,1.0,4,0.34,0.424,0.34,0.718,0.084,False,True,True
Q010,True,numerical,car_s2_l_car66_maintenance_engineer_licensing.pdf,59,77,3,1.0,1.0,1.0,1.0,6,0.6623,0.6623,0.6623,0.9351,0.0,False,True,True
Q011,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,116,431,5,1.0,1.0,1.0,1.0,5,0.7216,0.7587,0.7216,0.8561,0.0371,False,True,True
Q012,True,cross_document,car_s2_l_car66_maintenance_engineer_licensing.pdf,218,309,3,1.0,1.0,1.0,1.0,6,0.1165,0.4175,0.1165,0.3074,0.301,False,True,True
Q013,True,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,119,177,4,1.0,1.0,1.0,1.0,6,0.3785,0.9209,0.3785,0.7175,0.5424,False,True,True
