stratum,file,page,span_norm_len,stage,detail
table,icao_gasp_global_safety_plan.pdf,32,518.0,V5_span_over_cap,518
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,195,33.0,V5_span_too_short,33
table,car_s2_e_car145_maintenance_org_2025.pdf,38,251.0,V5_span_over_cap,251
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,112,1.0,V5_span_too_short,1
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,172,29.0,V5_span_too_short,29
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,140,8.0,V5_span_too_short,8
table,circular_air_safety_2023_01_flight_data_analysis.pdf,15,4.0,V5_span_too_short,4
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,63,26.0,V5_span_too_short,26
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,238,20.0,V5_span_too_short,20
table,car_s2_i_p5_flight_data_recorders.pdf,33,1.0,V5_span_too_short,1
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,118,1.0,V5_span_too_short,1
table,car_s2_i_p5_flight_data_recorders.pdf,22,1.0,V5_span_too_short,1
table,circular_flight_crew_2025_01_medical.pdf,3,12.0,V5_span_too_short,12
table,circular_air_safety_2023_01_flight_data_analysis.pdf,2,15.0,V5_span_too_short,15
table,car_s2_i_p5_flight_data_recorders.pdf,35,5.0,V5_span_too_short,5
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,128,6.0,V5_span_too_short,6
table,car_s2_i_p5_flight_data_recorders.pdf,23,1.0,V5_span_too_short,1
table,car_s2_e_car145_maintenance_org_2025.pdf,157,23.0,V5_span_too_short,23
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,133,22.0,V5_span_too_short,22
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,229,16.0,V5_span_too_short,16
table,circular_air_safety_2023_01_flight_data_analysis.pdf,9,19.0,V5_span_too_short,19
table,icao_environment_report.pdf,147,122.0,V5_span_over_cap,122
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,139,14.0,V5_span_too_short,14
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,209,145.0,V5_span_over_cap,145
table,circular_cabin_safety_2025_01_training.pdf,10,21.0,V5_span_too_short,21
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,60,37.0,V5_span_too_short,37
table,circular_air_safety_2023_01_flight_data_analysis.pdf,7,5.0,V5_span_too_short,5
table,icao_gasp_global_safety_plan.pdf,9,208.0,V5_span_over_cap,208
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,211,56.0,V6_no_fit_armA,Electrostatic conductivity test (if type is approved for hydrogen) (*)
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,245,119.0,V5_span_over_cap,119
table,icao_gasp_global_safety_plan.pdf,44,140.0,V5_span_over_cap,140
table,circular_air_safety_2023_01_flight_data_analysis.pdf,6,26.0,V5_span_too_short,26
table,car_s2_e_camo_continuing_airworthiness_mgmt.pdf,82,8.0,V5_span_too_short,8
table,car_s2_f_p14_microlight_aircraft.pdf,33,14.0,V5_span_too_short,14
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,171,23.0,V5_span_too_short,23
table,car_s2_c_p1_defect_recording_reporting.pdf,12,10.0,V5_span_too_short,10
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,134,13.0,V5_span_too_short,13
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,108,2.0,V5_span_too_short,2
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,132,13.0,V5_span_too_short,13
table,car_s2_e_car145_maintenance_org_2025.pdf,150,102.0,V5_span_over_cap,102
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,56,1.0,V5_span_too_short,1
table,circular_air_safety_2023_01_flight_data_analysis.pdf,11,14.0,V5_span_too_short,14
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,71,1.0,V5_span_too_short,1
table,car_s2_i_p5_flight_data_recorders.pdf,34,12.0,V5_span_too_short,12
table,circular_air_safety_2023_01_flight_data_analysis.pdf,5,21.0,V5_span_too_short,21
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,218,2.0,V5_span_too_short,2
table,icao_environment_report.pdf,203,20.0,V5_span_too_short,20
prose,icao_doc9859_safety_management_manual.pdf,8,64.0,V8_ambiguous_span,matches 10 pages
