window,overlap,n,mean,median,p10,p25,p75,p90,max,min,std,mean_err,median_err,within_tol
60,8,15533,273.2857142857143,298.0,119.0,245.0,330.0,354.0,520,9,84.7958182985878,-0.34027018008711113,-0.34216335540838855,False
64,8,14464,290.78235619469024,318.0,125.0,260.75,352.0,377.0,552,13,90.61833151362212,-0.29803212733759565,-0.2980132450331126,False
68,8,13553,307.79000959197225,338.0,127.0,276.0,373.0,400.0,573,13,97.00771125251438,-0.25697452525160097,-0.25386313465783666,False
72,9,12935,324.8971781986857,357.0,133.0,290.0,395.0,422.0,599,13,102.77227947911766,-0.21567668685699276,-0.2119205298013245,False
76,10,12359,342.23464681608544,377.0,137.80000000000018,306.0,416.0,445.0,635,11,108.89856006794028,-0.17382288897883413,-0.16777041942604856,False
80,10,11701,358.90317066917356,396.0,142.0,319.0,438.0,468.0,661,11,115.51997914016557,-0.1335839680804125,-0.12582781456953643,False
84,10,11112,375.31191504679623,416.0,146.0,333.0,458.0,490.0,689,15,121.5576273369464,-0.09397217204658112,-0.08167770419426049,True
88,11,10678,392.7345944933508,437.0,151.0,347.0,479.0,512.0,712,12,127.40569710587373,-0.0519126695814854,-0.03532008830022075,True
92,12,10294,409.49873712842435,455.0,156.0,361.0,502.0,535.0,743,15,133.52384020248007,-0.011442918608449676,0.004415011037527594,True
96,12,9840,425.8689024390244,475.0,158.0,372.0,522.0,557.0,763,15,140.03222186808205,0.02807574500166256,0.04856512141280353,True
100,12,9406,442.94588560493304,493.0,169.0,388.0,544.0,579.0,785,15,145.71655482258862,0.06930071374233293,0.08830022075055188,True
104,13,9108,459.6481115502855,512.0,172.70000000000005,398.0,565.0,602.0,823,15,151.7921211745766,0.10962099372429958,0.13024282560706402,False
108,14,8844,475.4168928086838,531.0,177.0,409.0,586.0,624.0,849,16,157.9849147304719,0.14768787638971628,0.17218543046357615,False
112,14,8522,490.5840178361887,550.0,179.10000000000002,416.0,608.0,646.0,876,16,165.59327726487942,0.18430232105304323,0.2141280353200883,False
116,14,8222,506.2139382145463,570.0,182.0,428.0,628.0,668.0,906,17,172.6846057963099,0.22203398435428037,0.2582781456953642,False
120,15,7979,523.7004637172578,589.0,188.0,444.0,649.0,692.0,932,18,178.33527218170235,0.2642476154288448,0.30022075055187636,False
124,16,7773,539.6507140100348,608.0,192.0,459.0,670.0,714.0,971,20,184.98378053022904,0.30275257636587305,0.34216335540838855,False
128,16,7536,553.8730095541401,624.0,195.0,464.0,691.0,735.0,998,25,192.37599612362723,0.3370861400597693,0.37748344370860926,False
132,16,7292,569.9701042238069,644.0,198.10000000000002,473.75,713.0,757.0,1022,20,198.7728286948141,0.37594559305129027,0.4216335540838852,False
136,17,7127,584.9990178195594,662.0,201.0,483.0,733.0,778.0,1036,19,205.91933635167572,0.4122263861616329,0.4613686534216336,False
