pool,qid,stratum,arm,mode,t,recall10,mrr10,ndcg10,n_rel_in_arm,reachable,union10_hit,page_hit,first_rank,best_cov_top10
FRESH,T002,table,A,hybrid,0.4,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,hybrid,0.5,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,hybrid,0.6,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,hybrid,0.7,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,hybrid,0.8,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,dense,0.4,0,0.0,0.0,1,1,1,1,0,0.2777777777777778
FRESH,T002,table,A,dense,0.5,0,0.0,0.0,1,1,1,1,0,0.2777777777777778
FRESH,T002,table,A,dense,0.6,0,0.0,0.0,1,1,0,1,0,0.2777777777777778
FRESH,T002,table,A,dense,0.7,0,0.0,0.0,1,1,0,1,0,0.2777777777777778
FRESH,T002,table,A,dense,0.8,0,0.0,0.0,1,1,0,1,0,0.2777777777777778
FRESH,T002,table,A,sparse,0.4,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,sparse,0.5,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,sparse,0.6,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,sparse,0.7,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,A,sparse,0.8,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
FRESH,T002,table,B,hybrid,0.4,0,0.0,0.0,1,1,1,1,0,0.3888888888888889
FRESH,T002,table,B,hybrid,0.5,0,0.0,0.0,1,1,0,1,0,0.3888888888888889
FRESH,T002,table,B,hybrid,0.6,0,0.0,0.0,1,1,0,1,0,0.3888888888888889
FRESH,T002,table,B,hybrid,0.7,0,0.0,0.0,1,1,0,1,0,0.3888888888888889
FRESH,T002,table,B,hybrid,0.8,0,0.0,0.0,1,1,0,1,0,0.3888888888888889
FRESH,T002,table,B,dense,0.4,0,0.0,0.0,1,1,1,1,0,0.2638888888888889
FRESH,T002,table,B,dense,0.5,0,0.0,0.0,1,1,1,1,0,0.2638888888888889
FRESH,T002,table,B,dense,0.6,0,0.0,0.0,1,1,0,1,0,0.2638888888888889
