pool,stratum,mode,t,n,A_recall10,B_recall10,d_recall10,discordant_A_only,discordant_B_only,mcnemar_p,A_mrr10,B_mrr10,d_mrr10,d_mrr10_ci_lo,d_mrr10_ci_hi,A_ndcg10,B_ndcg10,d_ndcg10,d_ndcg10_ci_lo,d_ndcg10_ci_hi,A_union10,B_union10,A_page,B_page,A_reachable,B_reachable
FRESH,all,hybrid,0.4,29,0.8275862068965517,0.8275862068965517,0.0,2,2,1.0,0.689983579638752,0.7586206896551724,-0.06863711001642037,-0.19540229885057472,0.04055829228243021,0.6391431111858075,0.6405278457737615,-0.001384734587953935,-0.09813660711365692,0.08086105765481075,0.9655172413793104,0.9655172413793104,0.9310344827586207,1.0,1.0,1.0
FRESH,all,hybrid,0.5,29,0.8275862068965517,0.8275862068965517,0.0,2,2,1.0,0.6641215106732348,0.7155172413793104,-0.051395730706075546,-0.17980295566502463,0.06125615763546786,0.6563018237899141,0.6548736775714153,0.0014281462184988186,-0.10037322003806193,0.08993523699381904,0.9655172413793104,0.9310344827586207,0.9310344827586207,1.0,1.0,1.0
FRESH,all,hybrid,0.6,29,0.8275862068965517,0.8275862068965517,0.0,2,2,1.0,0.6641215106732348,0.7155172413793104,-0.051395730706075546,-0.1827586206896552,0.06239737274220032,0.6657869348111197,0.6702809437164012,-0.004494008905281533,-0.11223084418827349,0.09143785861302473,0.9310344827586207,0.8620689655172413,0.9310344827586207,1.0,1.0,1.0
FRESH,all,hybrid,0.7,29,0.8275862068965517,0.7931034482758621,0.03448275862068961,3,2,1.0,0.6641215106732348,0.6793103448275862,-0.015188834154351403,-0.14073275862068965,0.09343801313628891,0.6875055188193064,0.6892539902797385,-0.0017484714604320685,-0.12759718750205368,0.11044833433488815,0.896551724137931,0.7931034482758621,0.9310344827586207,1.0,1.0,1.0
FRESH,all,hybrid,0.8,29,0.8275862068965517,0.7931034482758621,0.03448275862068961,3,2,1.0,0.6641215106732348,0.6793103448275862,-0.015188834154351403,-0.14532224958949097,0.09400656814449918,0.684737270169244,0.6892539902797385,-0.004516720110494567,-0.1344419604281705,0.11179218942996878,0.8275862068965517,0.7931034482758621,0.9310344827586207,1.0,1.0,1.0
FRESH,all,dense,0.4,29,0.7931034482758621,0.7931034482758621,0.0,2,2,1.0,0.667816091954023,0.7241379310344828,-0.05632183908045977,-0.2000287356321839,0.08160919540229884,0.6089074819160104,0.6018742282364988,0.0070332536795115405,-0.10161892973057561,0.11732194688340186,0.9655172413793104,0.9310344827586207,0.8620689655172413,1.0,1.0,1.0
FRESH,all,dense,0.5,29,0.7586206896551724,0.7931034482758621,-0.034482758620689724,2,3,1.0,0.6333333333333333,0.6810344827586207,-0.047701149425287366,-0.19770114942528735,0.09885057471264368,0.6258892113745974,0.6179967388839402,0.007892472490657108,-0.1124428105803289,0.13181530343625264,0.9655172413793104,0.896551724137931,0.8620689655172413,1.0,1.0,1.0
FRESH,all,dense,0.6,29,0.7586206896551724,0.7931034482758621,-0.034482758620689724,2,3,1.0,0.6333333333333333,0.6810344827586207,-0.047701149425287366,-0.2028735632183908,0.09482758620689655,0.6319508645552541,0.6325064460236609,-0.0005555814684069018,-0.12748683029001193,0.12623286644459467,0.8620689655172413,0.8275862068965517,0.8620689655172413,1.0,1.0,1.0
FRESH,all,dense,0.7,29,0.7586206896551724,0.7586206896551724,0.0,3,3,1.0,0.6333333333333333,0.6448275862068965,-0.011494252873563223,-0.17014367816091952,0.13333333333333333,0.6481104712785045,0.6514794925869983,-0.0033690213084937217,-0.15040803950679288,0.13507608084508865,0.8275862068965517,0.7586206896551724,0.8620689655172413,1.0,1.0,1.0
FRESH,all,dense,0.8,29,0.7586206896551724,0.7586206896551724,0.0,3,3,1.0,0.6333333333333333,0.6448275862068965,-0.011494252873563223,-0.16206896551724143,0.13333333333333336,0.6453422226284421,0.6514794925869983,-0.0061372699585562195,-0.15142920119830608,0.1335803344715759,0.7586206896551724,0.7586206896551724,0.8620689655172413,1.0,1.0,1.0
FRESH,all,sparse,0.4,29,0.8275862068965517,0.8275862068965517,0.0,2,2,1.0,0.6965517241379311,0.7586206896551724,-0.06206896551724138,-0.18390804597701152,0.041379310344827586,0.6390949319669752,0.6426121143846774,-0.0035171824177022614,-0.09828991105895087,0.08193062777634881,0.9655172413793104,0.9655172413793104,0.896551724137931,1.0,1.0,1.0
FRESH,all,sparse,0.5,29,0.8275862068965517,0.8275862068965517,0.0,2,2,1.0,0.6706896551724139,0.7155172413793104,-0.04482758620689655,-0.17126436781609194,0.06554597701149384,0.6569405306865976,0.6547641258996089,0.0021764047869888034,-0.0988436192680797,0.09395422346454205,0.9310344827586207,0.9310344827586207,0.896551724137931,1.0,1.0,1.0
FRESH,all,sparse,0.6,29,0.8275862068965517,0.8275862068965517,0.0,2,2,1.0,0.6706896551724139,0.7155172413793104,-0.04482758620689655,-0.1724137931034483,0.06896551724137931,0.6656031959870288,0.6701303219968837,-0.004527126009854839,-0.11259296226153967,0.0925592644785911,0.8620689655172413,0.896551724137931,0.896551724137931,1.0,1.0,1.0
FRESH,all,sparse,0.7,29,0.8275862068965517,0.7931034482758621,0.03448275862068961,3,2,1.0,0.6706896551724139,0.6793103448275862,-0.008620689655172414,-0.13620689655172413,0.10459770114942528,0.6889728208995958,0.689103368560221,-0.00013054766062526907,-0.12938853298738853,0.11725804501284763,0.8620689655172413,0.7931034482758621,0.896551724137931,1.0,1.0,1.0
