question_id,gold_is_table,gold_norm_len,armB_blocks,armB_contig_at_best_blocks,armB_scatter_gap,armB_scattered,source_file,page_number
Q001,True,307,0.3583,0.1726,0.1857,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,224
Q002,True,597,0.3518,0.2647,0.0871,False,circular_air_safety_2023_01_flight_data_analysis.pdf,2
Q003,True,425,0.5412,0.2188,0.3224,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,116
Q004,True,811,0.3921,0.3921,0.0,False,icao_gasp_global_safety_plan.pdf,9
Q005,True,170,0.8941,0.8353,0.0588,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,208
Q006,True,502,0.5398,0.5398,0.0,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,172
Q007,True,133,0.985,0.6617,0.3233,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,173
Q008,True,1074,0.3827,0.3827,0.0,False,icao_gasp_global_safety_plan.pdf,31
Q009,True,500,0.424,0.34,0.084,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,111
Q010,True,77,0.6623,0.6623,0.0,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,59
Q011,True,431,0.7587,0.7216,0.0371,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,116
Q012,True,309,0.4175,0.1165,0.301,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,218
Q013,True,177,0.9209,0.3785,0.5424,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,119
Q014,True,253,0.7549,0.7549,0.0,False,circular_air_nav_2024_01_installation.pdf,4
Q015,True,162,0.9074,0.3519,0.5555,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,113
Q016,True,157,1.0,1.0,0.0,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,172
Q017,True,926,0.4093,0.0907,0.3186,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,229
Q018,True,959,0.3003,0.0501,0.2502,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,36
Q019,True,997,0.326,0.326,0.0,False,car_s2_i_p5_flight_data_recorders.pdf,26
